fallo,coord,concurrencia,repeticion,warmup_seconds,measure_seconds,fault_probability,delay_seconds,usuarios_objetivo,usuarios_spawneados,requests_total,requests_fail,tasa_error,checkout_total,checkout_fail,checkout_confirmadas,tasa_abortos_checkout,codigos_http_json,latencia_p50_ms,latencia_p95_ms,latencia_p99_ms,throughput_rps,locust_cpu_pct_media,locust_cpu_pct_max,locust_mem_mb_media,locust_mem_mb_max,locust_warning_detected,locust_warning_texto,inicio_epoch,duracion_segundos
timing,saga,50,1,60.0,300.0,0.1,5.0,50,50,936,0,0.0,442,0,442,0.0,"{""200"": 494, ""201"": 444}",16000,27000,33000,2.9285030197558393,0.0,0.0,74.76,76.68,False,,1788693288.001,321.386
timing,saga,100,1,60.0,300.0,0.1,5.0,100,100,1080,67,0.062037,462,12,450,0.025974,"{""200"": 563, ""201"": 451, ""500"": 3, ""503"": 64}",30000,57000,68000,3.112821726000018,0.56,97.7,78.8,81.27,False,,1788693829.233,348.905
timing,saga,200,1,60.0,300.0,0.1,5.0,200,200,1448,414,0.285912,555,285,270,0.513514,"{""0"": 62, ""200"": 764, ""201"": 277, ""401"": 9, ""500"": 131, ""503"": 214}",47000,89000,90000,3.841132144809952,0.0,0.0,86.63,91.43,False,,1788694512.05,379.775
timing,saga,400,1,60.0,300.0,0.1,5.0,400,400,4123,2976,0.721805,408,327,81,0.801471,"{""0"": 2579, ""200"": 1066, ""201"": 81, ""401"": 175, ""409"": 8, ""500"": 74, ""503"": 140}",17000,90000,92000,10.457873230045793,0.0,0.0,105.81,111.39,False,,1788695365.996,396.253
none,2pc,50,2,60.0,300.0,0.0,5.0,50,50,870,0,0.0,409,0,409,0.0,"{""200"": 461, ""201"": 411}",16000,37000,45000,2.694319465983324,0.0,0.0,75.15,77.71,False,,1788695953.024,325.432
none,2pc,100,2,60.0,300.0,0.0,5.0,100,100,953,54,0.056663,403,13,390,0.032258,"{""0"": 1, ""200"": 509, ""201"": 396, ""500"": 3, ""503"": 50}",36000,66000,75000,2.609871433357607,0.0,0.0,79.22,82.34,False,,1788696512.235,367.327
none,2pc,200,2,60.0,300.0,0.0,5.0,200,200,1397,482,0.345025,503,295,208,0.586481,"{""0"": 124, ""200"": 707, ""201"": 210, ""401"": 16, ""409"": 9, ""500"": 99, ""503"": 236}",51000,90000,90000,3.7481937899866726,0.27,50.4,87.11,92.67,False,,1788697219.544,376.94
none,2pc,400,2,60.0,300.0,0.0,5.0,400,400,3535,2523,0.71372,276,258,18,0.934783,"{""0"": 2187, ""200"": 994, ""201"": 18, ""401"": 161, ""409"": 6, ""500"": 37, ""503"": 132}",17000,92000,92000,8.963868270490389,0.0,0.0,105.43,111.49,False,,1788698067.594,396.484
omission,2pc,50,2,60.0,300.0,0.1,5.0,50,50,779,29,0.037227,364,29,335,0.07967,"{""200"": 415, ""201"": 335, ""500"": 30}",20000,37000,42000,2.2945989445594153,0.0,0.0,74.84,77.14,False,,1788698633.998,342.391
omission,2pc,100,2,60.0,300.0,0.1,5.0,100,100,935,43,0.045989,417,43,374,0.103118,"{""200"": 518, ""201"": 375, ""500"": 40, ""503"": 3}",36000,65000,74000,2.617575359946976,0.0,0.8,78.74,81.9,False,,1788699219.613,359.861
omission,2pc,200,2,60.0,300.0,0.1,5.0,200,200,1414,445,0.31471,540,312,228,0.577778,"{""0"": 105, ""200"": 741, ""201"": 228, ""401"": 11, ""409"": 18, ""500"": 164, ""503"": 148}",51000,90000,90000,3.659513312285806,0.51,97.7,86.97,92.33,False,,1788699920.132,388.114
omission,2pc,400,2,60.0,300.0,0.1,5.0,400,400,3557,2480,0.697217,295,241,54,0.816949,"{""0"": 2137, ""200"": 1023, ""201"": 54, ""401"": 162, ""409"": 5, ""500"": 32, ""503"": 144}",17000,92000,92000,9.013867985820122,0.01,1.5,106.42,112.39,False,,1788700785.625,396.429
timing,2pc,50,2,60.0,300.0,0.1,5.0,50,50,795,0,0.0,372,0,372,0.0,"{""200"": 423, ""201"": 373}",18000,37000,43000,2.441111961924005,0.0,0.0,74.2,76.49,False,,1788701348.698,327.552
