fallo,coord,concurrencia,repeticiones_total,metrica,unidad,n_valido,mediana,ic95_inf,ic95_sup,metodo_ic95,estado
timing,2pc,100,5,tasa_abortos_checkout,proporcion,5,0.062053,0.050251,0.21374,bootstrap_percentil_20000,calculado
timing,2pc,100,5,inconsistencias,ordenes_o_eventos,5,4.0,0.0,16.0,bootstrap_percentil_20000,calculado
timing,2pc,100,5,tasa_inconsistencia,proporcion,5,0.009901,0.0,0.045845,bootstrap_percentil_20000,calculado
timing,2pc,100,5,convergencia_compensacion_ms,ms,0,no_verificado,no_verificado,no_verificado,no_verificado,no_verificado
timing,saga,100,5,latencia_p95_ms,ms,5,60000.0,56000.0,64000.0,bootstrap_percentil_20000,calculado
timing,saga,100,5,throughput_rps,requests/s,5,2.851259,2.535763,3.112822,bootstrap_percentil_20000,calculado
timing,saga,100,5,tasa_confirmacion_checkout,proporcion,5,0.974026,0.940774,0.993814,bootstrap_percentil_20000,calculado
timing,saga,100,5,tasa_abortos_checkout,proporcion,5,0.025974,0.006186,0.059226,bootstrap_percentil_20000,calculado
timing,saga,100,5,inconsistencias,ordenes_o_eventos,5,4.0,1.0,414.0,bootstrap_percentil_20000,calculado
timing,saga,100,5,tasa_inconsistencia,proporcion,5,0.009547,0.002062,1.0,bootstrap_percentil_20000,calculado
timing,saga,100,5,convergencia_compensacion_ms,ms,3,24971123.874,15119778.134,33885285.471,bootstrap_percentil_20000,calculado
timing,2pc,200,5,latencia_p95_ms,ms,5,90000.0,90000.0,90000.0,bootstrap_percentil_20000,calculado
timing,2pc,200,5,throughput_rps,requests/s,5,3.861355,3.603213,4.666719,bootstrap_percentil_20000,calculado
timing,2pc,200,5,tasa_confirmacion_checkout,proporcion,5,0.302,0.230769,0.454728,bootstrap_percentil_20000,calculado
timing,2pc,200,5,tasa_abortos_checkout,proporcion,5,0.698,0.545272,0.769231,bootstrap_percentil_20000,calculado
timing,2pc,200,5,inconsistencias,ordenes_o_eventos,5,98.0,59.0,127.0,bootstrap_percentil_20000,calculado
timing,2pc,200,5,tasa_inconsistencia,proporcion,5,0.262032,0.159091,0.386018,bootstrap_percentil_20000,calculado
timing,2pc,200,5,convergencia_compensacion_ms,ms,0,no_verificado,no_verificado,no_verificado,no_verificado,no_verificado
timing,saga,200,5,latencia_p95_ms,ms,5,89000.0,86000.0,90000.0,bootstrap_percentil_20000,calculado
timing,saga,200,5,throughput_rps,requests/s,5,3.739297,3.614439,3.923641,bootstrap_percentil_20000,calculado
timing,saga,200,5,tasa_confirmacion_checkout,proporcion,5,0.505792,0.411978,0.618962,bootstrap_percentil_20000,calculado
timing,saga,200,5,tasa_abortos_checkout,proporcion,5,0.494208,0.381038,0.588022,bootstrap_percentil_20000,calculado
timing,saga,200,5,inconsistencias,ordenes_o_eventos,5,139.0,81.0,461.0,bootstrap_percentil_20000,calculado
timing,saga,200,5,tasa_inconsistencia,proporcion,5,0.336562,0.183932,1.0,bootstrap_percentil_20000,calculado
timing,saga,200,5,convergencia_compensacion_ms,ms,3,26872868.702,16853757.969,35188389.907,bootstrap_percentil_20000,calculado
timing,2pc,400,5,latencia_p95_ms,ms,5,92000.0,81000.0,92000.0,bootstrap_percentil_20000,calculado
timing,2pc,400,5,throughput_rps,requests/s,5,8.631584,7.673964,12.768427,bootstrap_percentil_20000,calculado
timing,2pc,400,5,tasa_confirmacion_checkout,proporcion,5,0.107256,0.050388,0.169611,bootstrap_percentil_20000,calculado
timing,2pc,400,5,tasa_abortos_checkout,proporcion,5,0.892744,0.830389,0.949612,bootstrap_percentil_20000,calculado
timing,2pc,400,5,inconsistencias,ordenes_o_eventos,5,69.0,44.0,109.0,bootstrap_percentil_20000,calculado
timing,2pc,400,5,tasa_inconsistencia,proporcion,5,0.263538,0.188841,0.436709,bootstrap_percentil_20000,calculado
timing,2pc,400,5,convergencia_compensacion_ms,ms,0,no_verificado,no_verificado,no_verificado,no_verificado,no_verificado
timing,saga,400,5,latencia_p95_ms,ms,5,90000.0,90000.0,92000.0,bootstrap_percentil_20000,calculado
timing,saga,400,5,throughput_rps,requests/s,5,10.137338,8.351684,11.231389,bootstrap_percentil_20000,calculado
timing,saga,400,5,tasa_confirmacion_checkout,proporcion,5,0.131148,0.039344,0.198529,bootstrap_percentil_20000,calculado
timing,saga,400,5,tasa_abortos_checkout,proporcion,5,0.868852,0.801471,0.960656,bootstrap_percentil_20000,calculado
timing,saga,400,5,inconsistencias,ordenes_o_eventos,5,118.0,67.0,239.0,bootstrap_percentil_20000,calculado
timing,saga,400,5,tasa_inconsistencia,proporcion,5,0.380645,0.234266,1.0,bootstrap_percentil_20000,calculado
timing,saga,400,5,convergencia_compensacion_ms,ms,3,27854724.785,18294803.658,35554122.71,bootstrap_percentil_20000,calculado
